activity_nr,opt_type,opt_id,opt_value,opt_info_id,load_dt
336331988,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336332184,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336332580,N,11,LOG673042,,2020-08-17 00:28:11 EDT
336333380,N,1,643918,,2020-08-17 00:28:11 EDT
336333380,N,14,"FOCUS,S",,2020-08-17 00:28:11 EDT
336333588,N,1,633358,,2020-08-17 00:28:11 EDT
336333588,N,6,123456,,2020-08-17 00:28:11 EDT
336334586,N,1,633458,,2020-08-17 00:28:11 EDT
336334586,N,6,123456,,2020-08-17 00:28:11 EDT
336334594,N,6,429927,,2020-08-17 00:28:11 EDT
336334784,N,1,633118,,2020-08-17 00:28:11 EDT
336335187,N,1,633518,,2020-08-17 00:28:11 EDT
336335583,N,6,848698,,2020-08-17 00:28:11 EDT
336336383,N,1,633638,,2020-08-17 00:28:11 EDT
336336383,N,6,123456,,2020-08-17 00:28:11 EDT
336336581,N,10,PHONE,,2020-08-17 00:28:11 EDT
336336789,N,1,633678,,2020-08-17 00:28:11 EDT
336336789,N,6,703867,,2020-08-17 00:28:11 EDT
336337985,N,1,630699,,2020-08-17 00:28:11 EDT
336337985,N,6,623095,,2020-08-17 00:28:11 EDT
336338389,N,6,449172,,2020-08-17 00:28:11 EDT
336338389,N,1,633838,,2020-08-17 00:28:11 EDT
336338587,N,1,633858,,2020-08-17 00:28:11 EDT
336338587,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336340187,N,1,634018,,2020-08-17 00:28:11 EDT
336340385,N,1,634038,,2020-08-17 00:28:11 EDT
336340583,N,6,488082,,2020-08-17 00:28:11 EDT
336340989,N,6,LAB,,2020-08-17 00:28:11 EDT
336341383,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336341409,N,3,UED,,2020-08-17 00:28:11 EDT
336341409,N,3,OTHER,,2020-08-17 00:28:11 EDT
336341409,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336341409,N,2,TB,,2020-08-17 00:28:11 EDT
336341417,N,1,634141,,2020-08-17 00:28:11 EDT
336341581,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336341789,N,1,634178,,2020-08-17 00:28:11 EDT
336341805,N,1,634180,,2020-08-17 00:28:11 EDT
336341805,N,6,628080,,2020-08-17 00:28:11 EDT
336342183,N,2,TB,,2020-08-17 00:28:11 EDT
336342183,N,3,OTHER,,2020-08-17 00:28:11 EDT
336342183,N,3,BACK,,2020-08-17 00:28:11 EDT
336342183,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336342191,N,6,814140,,2020-08-17 00:28:11 EDT
336342985,N,1,618518,,2020-08-17 00:28:11 EDT
336343181,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336343181,N,1,634318,,2020-08-17 00:28:11 EDT
336343389,N,1,634338,,2020-08-17 00:28:11 EDT
336343389,N,10,PHONE,,2020-08-17 00:28:11 EDT
336343587,N,6,443438,,2020-08-17 00:28:11 EDT
336343603,N,1,634360,,2020-08-17 00:28:11 EDT
336343603,N,6,545567,,2020-08-17 00:28:11 EDT
336343785,N,1,123456,,2020-08-17 00:28:11 EDT
336343785,N,6,634378,,2020-08-17 00:28:11 EDT
336343983,N,1,634398,,2020-08-17 00:28:11 EDT
336343983,N,6,123456,,2020-08-17 00:28:11 EDT
336344189,N,1,634418,,2020-08-17 00:28:11 EDT
336344585,N,1,634458,,2020-08-17 00:28:11 EDT
336345392,N,6,506608,,2020-08-17 00:28:11 EDT
336345590,N,6,123456,,2020-08-17 00:28:11 EDT
336345798,N,3,BACK,,2020-08-17 00:28:11 EDT
336346382,N,1,634638,,2020-08-17 00:28:11 EDT
336346598,N,6,425702,,2020-08-17 00:28:11 EDT
336347182,N,1,634178,,2020-08-17 00:28:11 EDT
336347984,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336347992,N,16,LEAD,,2020-08-17 00:28:11 EDT
336347992,N,4,EVAL,,2020-08-17 00:28:11 EDT
336348388,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336348388,N,3,BACK,,2020-08-17 00:28:11 EDT
336348388,N,3,UED,,2020-08-17 00:28:11 EDT
336348388,N,16,VIOLENCE,,2020-08-17 00:28:11 EDT
336348586,N,6,607594,,2020-08-17 00:28:11 EDT
336349782,N,1,634978,,2020-08-17 00:28:11 EDT
336349782,N,6,556748,,2020-08-17 00:28:11 EDT
336349980,N,4,ATAR,,2020-08-17 00:28:11 EDT
336350780,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336352190,N,1,635219,,2020-08-17 00:28:11 EDT
336352190,N,6,582588,,2020-08-17 00:28:11 EDT
336352588,N,1,635258,,2020-08-17 00:28:11 EDT
336352588,N,16,ASBESTOS,,2020-08-17 00:28:11 EDT
336352596,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336352786,N,1,635278,,2020-08-17 00:28:11 EDT
336352786,N,6,123456,,2020-08-17 00:28:11 EDT
336353586,N,1,635358,,2020-08-17 00:28:11 EDT
336353586,N,6,667486,,2020-08-17 00:28:11 EDT
336353784,N,1,635258,,2020-08-17 00:28:11 EDT
336354188,N,1,635418,,2020-08-17 00:28:11 EDT
336354188,N,6,123456,,2020-08-17 00:28:11 EDT
336354188,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336354584,N,1,635458,,2020-08-17 00:28:11 EDT
336354584,N,6,667474,,2020-08-17 00:28:11 EDT
336354980,N,3,BACK,,2020-08-17 00:28:11 EDT
336354980,N,11,RECORDS,,2020-08-17 00:28:11 EDT
336355193,N,11,LOG704182,,2020-08-17 00:28:11 EDT
336355193,N,11,LOG707062,,2020-08-17 00:28:11 EDT
336355383,N,6,LAB,,2020-08-17 00:28:11 EDT
336355789,N,6,560019,,2020-08-17 00:28:11 EDT
336356183,N,1,618518,,2020-08-17 00:28:11 EDT
336356787,N,1,635678,,2020-08-17 00:28:11 EDT
336356985,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336357181,N,1,642918,,2020-08-17 00:28:11 EDT
336357181,N,6,408897,,2020-08-17 00:28:11 EDT
336357587,N,6,662470,,2020-08-17 00:28:11 EDT
336357785,N,1,635778,,2020-08-17 00:28:11 EDT
336357785,N,6,642716,,2020-08-17 00:28:11 EDT
336357983,N,1,635118,,2020-08-17 00:28:11 EDT
336358981,N,1,635898,,2020-08-17 00:28:11 EDT
336359187,N,5,IAQOTHER-MOLD,,2020-08-17 00:28:11 EDT
336359989,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336360581,N,6,123456,,2020-08-17 00:28:11 EDT
336360581,N,1,636058,,2020-08-17 00:28:11 EDT
336360987,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336361787,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336361985,N,6,PSMN,,2020-08-17 00:28:11 EDT
336362181,N,6,866522,,2020-08-17 00:28:11 EDT
336362181,N,1,636218,,2020-08-17 00:28:11 EDT
336362389,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336362587,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336362785,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336362983,N,1,564058,,2020-08-17 00:28:11 EDT
336362983,N,6,638832,,2020-08-17 00:28:11 EDT
336363981,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336364385,N,4,ATAR,,2020-08-17 00:28:11 EDT
336364781,N,1,636478,,2020-08-17 00:28:11 EDT
336365192,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336365788,N,6,123456,,2020-08-17 00:28:11 EDT
336365788,N,1,636578,,2020-08-17 00:28:11 EDT
336366182,N,6,491379,,2020-08-17 00:28:11 EDT
336366984,N,1,636698,,2020-08-17 00:28:11 EDT
336366984,N,6,123456,,2020-08-17 00:28:11 EDT
336369988,N,1,636998,,2020-08-17 00:28:11 EDT
336369988,N,6,123456,,2020-08-17 00:28:11 EDT
336370184,N,16,RESCON,,2020-08-17 00:28:11 EDT
336370788,N,1,637078,,2020-08-17 00:28:11 EDT
336370788,N,6,668007,,2020-08-17 00:28:11 EDT
336371182,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336371984,N,1,637198,,2020-08-17 00:28:11 EDT
336371984,N,6,123456,,2020-08-17 00:28:11 EDT
336372180,N,1,637218,,2020-08-17 00:28:11 EDT
336372180,N,6,123456,,2020-08-17 00:28:11 EDT
336372792,N,1,637279,,2020-08-17 00:28:11 EDT
336372792,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336373188,N,1,616478,,2020-08-17 00:28:11 EDT
336373188,N,6,795021,,2020-08-17 00:28:11 EDT
336373386,N,1,637338,,2020-08-17 00:28:11 EDT
336373980,N,6,898997,,2020-08-17 00:28:11 EDT
336375589,N,5,IAQOTHER,,2020-08-17 00:28:11 EDT
336376181,N,1,516458,,2020-08-17 00:28:11 EDT
336376181,N,6,123456,,2020-08-17 00:28:11 EDT
336376785,N,6,866347,,2020-08-17 00:28:11 EDT
336376983,N,1,637698,,2020-08-17 00:28:11 EDT
336377585,N,1,637758,,2020-08-17 00:28:11 EDT
336377585,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336377585,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336377981,N,6,422164,,2020-08-17 00:28:11 EDT
336378187,N,1,637818,,2020-08-17 00:28:11 EDT
336378187,N,6,664724,,2020-08-17 00:28:11 EDT
336378187,N,14,"FOCUS,C,NNN",,2020-08-17 00:28:11 EDT
336378385,N,1,637838,,2020-08-17 00:28:11 EDT
336378385,N,6,663452,,2020-08-17 00:28:11 EDT
336378583,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336379383,N,1,637938,,2020-08-17 00:28:11 EDT
336379581,N,1,637958,,2020-08-17 00:28:11 EDT
336379789,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336380381,N,6,553254,,2020-08-17 00:28:11 EDT
336380381,N,1,638038,,2020-08-17 00:28:11 EDT
336380985,N,1,638098,,2020-08-17 00:28:11 EDT
336381389,N,1,638138,,2020-08-17 00:28:11 EDT
336381389,N,6,438622,,2020-08-17 00:28:11 EDT
336381983,N,1,638198,,2020-08-17 00:28:11 EDT
336383385,N,1,638338,,2020-08-17 00:28:11 EDT
336383385,N,6,556117,,2020-08-17 00:28:11 EDT
336383393,N,16,ASBESTOS,,2020-08-17 00:28:11 EDT
336383393,N,10,PHONE,,2020-08-17 00:28:11 EDT
336383781,N,1,638378,,2020-08-17 00:28:11 EDT
336384581,N,1,638458,,2020-08-17 00:28:11 EDT
336384581,N,6,422120,,2020-08-17 00:28:11 EDT
336384789,N,6,748240,,2020-08-17 00:28:11 EDT
336385380,N,1,638538,,2020-08-17 00:28:11 EDT
336385398,N,1,634180,,2020-08-17 00:28:11 EDT
336385398,N,6,628080,,2020-08-17 00:28:11 EDT
336386180,N,1,638618,,2020-08-17 00:28:11 EDT
336386388,N,1,638478,,2020-08-17 00:28:11 EDT
336386388,N,6,748240,,2020-08-17 00:28:11 EDT
336386784,N,6,555154,,2020-08-17 00:28:11 EDT
336386784,N,1,638678,,2020-08-17 00:28:11 EDT
336387386,N,1,638738,,2020-08-17 00:28:11 EDT
336387584,N,1,638758,,2020-08-17 00:28:11 EDT
336387584,N,6,123456,,2020-08-17 00:28:11 EDT
336387584,N,16,RESCON,,2020-08-17 00:28:11 EDT
336387980,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336387980,N,1,638798,,2020-08-17 00:28:11 EDT
336387980,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336388186,N,6,748240,,2020-08-17 00:28:11 EDT
336388186,N,1,638478,,2020-08-17 00:28:11 EDT
336388384,N,1,638838,,2020-08-17 00:28:11 EDT
336388384,N,6,123456,,2020-08-17 00:28:11 EDT
336388384,N,16,RESCON,,2020-08-17 00:28:11 EDT
336388392,N,1,638839,,2020-08-17 00:28:11 EDT
336388988,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336390588,N,1,639058,,2020-08-17 00:28:11 EDT
336390588,N,6,805872,,2020-08-17 00:28:11 EDT
336390984,N,5,IAQVENT,,2020-08-17 00:28:11 EDT
336391396,N,1,639139,,2020-08-17 00:28:11 EDT
336391784,N,1,639178,,2020-08-17 00:28:11 EDT
336392204,N,1,639178,,2020-08-17 00:28:11 EDT
336392782,N,10,IMMLANG-Y,,2020-08-17 00:28:11 EDT
336392980,N,1,639298,,2020-08-17 00:28:11 EDT
336393780,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336393780,N,3,BACK,,2020-08-17 00:28:11 EDT
336394184,N,1,639178,,2020-08-17 00:28:11 EDT
336394382,N,1,639438,,2020-08-17 00:28:11 EDT
336394382,N,6,123456,,2020-08-17 00:28:11 EDT
336395199,N,1,639519,,2020-08-17 00:28:11 EDT
336396197,N,1,639619,,2020-08-17 00:28:11 EDT
336396197,N,6,123456,,2020-08-17 00:28:11 EDT
336396783,N,1,639678,,2020-08-17 00:28:11 EDT
336396783,N,6,648380,,2020-08-17 00:28:11 EDT
336396999,N,1,639699,,2020-08-17 00:28:11 EDT
336398581,N,1,639678,,2020-08-17 00:28:11 EDT
336398581,N,6,648380,,2020-08-17 00:28:11 EDT
336398995,N,1,639899,,2020-08-17 00:28:11 EDT
336398995,N,6,123456,,2020-08-17 00:28:11 EDT
336399001,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336399183,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336399589,N,1,639958,,2020-08-17 00:28:11 EDT
336399589,N,6,515121,,2020-08-17 00:28:11 EDT
336399787,N,1,639978,,2020-08-17 00:28:11 EDT
336399985,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336400387,N,2,TB,,2020-08-17 00:28:11 EDT
336400387,N,5,IAQOTHER,,2020-08-17 00:28:11 EDT
336400387,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336400809,N,1,640080,,2020-08-17 00:28:11 EDT
336400809,N,6,123456,,2020-08-17 00:28:11 EDT
336401781,N,1,640178,,2020-08-17 00:28:11 EDT
336401781,N,6,123456,,2020-08-17 00:28:11 EDT
336401997,N,1,640199,,2020-08-17 00:28:11 EDT
336402003,N,3,OTHER,,2020-08-17 00:28:11 EDT
336402003,N,16,NURSING,,2020-08-17 00:28:11 EDT
336402383,N,1,640238,,2020-08-17 00:28:11 EDT
336402391,N,6,748240,,2020-08-17 00:28:11 EDT
336402391,N,1,638478,,2020-08-17 00:28:11 EDT
336402995,N,6,659554,,2020-08-17 00:28:11 EDT
336402995,N,1,640299,,2020-08-17 00:28:11 EDT
336403183,N,1,640318,,2020-08-17 00:28:11 EDT
336403183,N,16,RESCON,,2020-08-17 00:28:11 EDT
336403381,N,1,640338,,2020-08-17 00:28:11 EDT
336403399,N,1,640339,,2020-08-17 00:28:11 EDT
336403787,N,1,640378,,2020-08-17 00:28:11 EDT
336403985,N,6,892690,,2020-08-17 00:28:11 EDT
336404199,N,1,640419,,2020-08-17 00:28:11 EDT
336404199,N,6,123456,,2020-08-17 00:28:11 EDT
336404389,N,3,BACK,,2020-08-17 00:28:11 EDT
336404587,N,1,640458,,2020-08-17 00:28:11 EDT
336404587,N,6,627502,,2020-08-17 00:28:11 EDT
336404785,N,1,634318,,2020-08-17 00:28:11 EDT
336405196,N,1,640519,,2020-08-17 00:28:11 EDT
336405196,N,6,123456,,2020-08-17 00:28:11 EDT
336405584,N,8,SIGCASE,,2020-08-17 00:28:11 EDT
336405584,N,10,IMMLANG-N,,2020-08-17 00:28:11 EDT
336406186,N,1,640458,,2020-08-17 00:28:11 EDT
336406186,N,6,640618,,2020-08-17 00:28:11 EDT
336406590,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336406608,N,1,640660,,2020-08-17 00:28:11 EDT
336406608,N,6,513661,,2020-08-17 00:28:11 EDT
336406608,N,9,IMMINENT,,2020-08-17 00:28:11 EDT
336407788,N,1,640778,,2020-08-17 00:28:11 EDT
336407788,N,6,607580,,2020-08-17 00:28:11 EDT
336407796,N,4,ATAR,,2020-08-17 00:28:11 EDT
336409180,N,1,640458,,2020-08-17 00:28:11 EDT
336409180,N,6,123456,,2020-08-17 00:28:11 EDT
336409586,N,10,IMMLANG-Y,,2020-08-17 00:28:11 EDT
336409982,N,1,640998,,2020-08-17 00:28:11 EDT
336409982,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336410386,N,1,641038,,2020-08-17 00:28:11 EDT
336410386,N,6,425283,,2020-08-17 00:28:11 EDT
336410584,N,1,641058,,2020-08-17 00:28:11 EDT
336411384,N,8,SIGCASE,,2020-08-17 00:28:11 EDT
336411582,N,6,637335,,2020-08-17 00:28:11 EDT
336411988,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336411988,N,3,BACK,,2020-08-17 00:28:11 EDT
336412184,N,1,640458,,2020-08-17 00:28:11 EDT
336412184,N,6,123456,,2020-08-17 00:28:11 EDT
336412382,N,1,641238,,2020-08-17 00:28:11 EDT
336412382,N,6,123456,,2020-08-17 00:28:11 EDT
336412390,N,6,637335,,2020-08-17 00:28:11 EDT
336412986,N,1,641298,,2020-08-17 00:28:11 EDT
336412986,N,6,656657,,2020-08-17 00:28:11 EDT
336413380,N,6,637335,,2020-08-17 00:28:11 EDT
336413786,N,1,641378,,2020-08-17 00:28:11 EDT
336413786,N,6,123456,,2020-08-17 00:28:11 EDT
336414180,N,1,641418,,2020-08-17 00:28:11 EDT
336414198,N,1,641419,,2020-08-17 00:28:11 EDT
336414198,N,6,123456,,2020-08-17 00:28:11 EDT
336414198,N,16,RESCON,,2020-08-17 00:28:11 EDT
336414388,N,6,637335,,2020-08-17 00:28:11 EDT
336414396,N,1,NNNNNNNNN,,2020-08-17 00:28:11 EDT
336414586,N,1,641458,,2020-08-17 00:28:11 EDT
336414586,N,6,123456,,2020-08-17 00:28:11 EDT
336414982,N,1,641498,,2020-08-17 00:28:11 EDT
336415187,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336415385,N,1,641538,,2020-08-17 00:28:11 EDT
336415583,N,1,641558,,2020-08-17 00:28:11 EDT
336415583,N,16,RESCON,,2020-08-17 00:28:11 EDT
336416383,N,1,641638,,2020-08-17 00:28:11 EDT
336416383,N,6,123456,,2020-08-17 00:28:11 EDT
336416391,N,4,ATAR,,2020-08-17 00:28:11 EDT
336416987,N,6,LAB,,2020-08-17 00:28:11 EDT
336417787,N,1,641778,,2020-08-17 00:28:11 EDT
336417787,N,6,123456,,2020-08-17 00:28:11 EDT
336418389,N,1,641838,,2020-08-17 00:28:11 EDT
336418389,N,6,123456,,2020-08-17 00:28:11 EDT
336419585,N,1,641958,,2020-08-17 00:28:11 EDT
336419585,N,6,123456,,2020-08-17 00:28:11 EDT
336420781,N,1,641958,,2020-08-17 00:28:11 EDT
336421581,N,1,641958,,2020-08-17 00:28:11 EDT
336422191,N,1,642219,,2020-08-17 00:28:11 EDT
336422191,N,6,CONSTR. DATES,,2020-08-17 00:28:11 EDT
336422589,N,16,RESCON,,2020-08-17 00:28:11 EDT
336422589,N,1,642258,,2020-08-17 00:28:11 EDT
336422589,N,16,SINGFAM,,2020-08-17 00:28:11 EDT
336422795,N,1,641958,,2020-08-17 00:28:11 EDT
336423181,N,4,ATAR,,2020-08-17 00:28:11 EDT
336424189,N,1,634180,,2020-08-17 00:28:11 EDT
336424189,N,6,628080,,2020-08-17 00:28:11 EDT
336424205,N,1,642420,,2020-08-17 00:28:11 EDT
336424205,N,6,123456,,2020-08-17 00:28:11 EDT
336424387,N,1,639978,,2020-08-17 00:28:11 EDT
336425780,N,6,123456,,2020-08-17 00:28:11 EDT
336425780,N,1,650138,,2020-08-17 00:28:11 EDT
336425996,N,1,642599,,2020-08-17 00:28:11 EDT
336426788,N,1,642678,,2020-08-17 00:28:11 EDT
336426788,N,6,123456,,2020-08-17 00:28:11 EDT
336428792,N,16,RESCON,,2020-08-17 00:28:11 EDT
336429188,N,1,642918,,2020-08-17 00:28:11 EDT
336429188,N,6,408897,,2020-08-17 00:28:11 EDT
336429980,N,1,64299,,2020-08-17 00:28:11 EDT
336430988,N,1,643098,,2020-08-17 00:28:11 EDT
336431408,N,1,643140,,2020-08-17 00:28:11 EDT
336431408,N,6,123456,,2020-08-17 00:28:11 EDT
336431796,N,1,643179,,2020-08-17 00:28:11 EDT
336431796,N,6,123456,,2020-08-17 00:28:11 EDT
336431812,N,1,643181,,2020-08-17 00:28:11 EDT
336431986,N,1,643198,,2020-08-17 00:28:11 EDT
336432380,N,1,643238,,2020-08-17 00:28:11 EDT
336432992,N,2,BLOOD,,2020-08-17 00:28:11 EDT
336433388,N,6,633657,,2020-08-17 00:28:11 EDT
336434188,N,1,643418,,2020-08-17 00:28:11 EDT
336434196,N,6,684775,,2020-08-17 00:28:11 EDT
336434584,N,1,643458,,2020-08-17 00:28:11 EDT
336434782,N,1,643478,,2020-08-17 00:28:11 EDT
336434782,N,6,123456,,2020-08-17 00:28:11 EDT
336435185,N,1,643518,,2020-08-17 00:28:11 EDT
336435185,N,6,919048,,2020-08-17 00:28:11 EDT
336435581,N,6,446833,,2020-08-17 00:28:11 EDT
336435797,N,1,544922,,2020-08-17 00:28:11 EDT
336435987,N,4,ATAR,,2020-08-17 00:28:11 EDT
336436589,N,1,643658,,2020-08-17 00:28:11 EDT
336436787,N,1,643678,,2020-08-17 00:28:11 EDT
